,Unnamed: 0,PROGRAM.TYPE,PROGRAM,SITE.NAME,BOROUGH...COMMUNITY,AGENCY,Contact.Number,Grade.Level...Age.Group,Location.1,Postcode,Latitude,Longitude
1,2,Jobs & Internships,Young Adult Internship Program,"NYSARC, Inc. NYC Chapter",Staten Island,"NYSARC, Inc. NYC Chapter",718.246.1506,16 to 24,120 Stuyvesant Place,10301,40.642992,-74.076954
2,3,"After-School Programs,Beacon,NYCHA Community Center",Beacon Satellite,NYCHA REDFERN HOUSES,Queens,Police Athletic League @Redfern Community Center,(718) 471-0360,6 and up,1544 Hassock Street,11691,40.609102,-73.753359
3,4,After-School Programs,Out of School Time,P.S. 205 CLARION SCHOOL,Brooklyn,YMCA of Greater New York/Prospect Park,(718) 234-2655,Elementary,6701 20th Avenue,11204,40.61527,-73.987149
4,5,After-School Programs,Out of School Time,PAL Armory,Manhattan,"Police Athletic League, Inc.",(212) 477-9450,High School,216 Fort Washington Avenue,10032,40.842571,-73.942097
5,6,"Family Support,NDA Programs",Health Stat Initiative,Make the Road New York,Brooklyn,Make the Road New York,718.418.7690,All Ages,301 Grove St,11237,40.698448,-73.91562900000001
6,7,After-School Programs,Out of School Time,Fred Doug High School,Manhattan,The Childrens Aid Society,(212) 865-6337,High School,885 Columbus Avenue,10025,40.797762,-73.963944
7,8,After-School Programs,Out of School Time,P.S. 197 OCEAN SCHOOL,Queens,YMCA of Greater New York/Cross Island,(917) 704-1239,Elementary,8 25 HICKSVILLE ROAD,11691,40.600198999999996,-73.74396800000001
8,9,After-School Programs,Out of School Time,P.S. 19 MARINO P. JEANTET SCHOOL,Queens,New York Junior Tennis League,(917) 526-9857,Elementary,98 02 Roosevelt Avenue,11368,40.749381,-73.867354
9,10,"Jobs & Internships,Youth Employment",Summer Youth Employment ,"El Barrio's Operation Fightback, Inc.",Manhattan,"El Barrio's Operation Fightback, Inc.",212-410-7900,14 to 24,320 Pleasant Avenue,10035,40.795823999999996,-73.932581
10,11,"NDA Programs,Senior Programs,Older Adult Program",Seniors,Morrisania Air Rights Housing Development,Bronx,MIDDLE SCHOOL 322 (M322),(718) 542-0006,Seniors,3135 Park Avenue,10451,40.82415,-73.917164
11,12,"Family Support,NDA Programs", Housing,Office of Senator Kruger,Brooklyn,Erasmus H.S. of Service Learning,(718) 743-0575,Adults,"2201 Avenue
U ",11229,40.599623,-73.949312
12,13,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 250,Brooklyn,New York Junior Tennis League,(718) 782-2390,OST,108 Montrose Avenue,11206,40.707104,-73.945475
